               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 104,             0.03924,            0.036325,           0.0064333,             0.70149,             0.63411,             0.61051,             0.25533,            0.048955,            0.027502,            0.019455,           0.0049015,           0.0049015,           0.0049015
                 105,            0.038455,            0.035128,           0.0062159,             0.67743,             0.66166,             0.63348,             0.25987,            0.050206,            0.026709,            0.018501,            0.004852,            0.004852,            0.004852
                 106,            0.038651,             0.03571,           0.0060073,              0.7006,             0.64037,             0.61752,             0.24809,            0.050268,            0.027231,            0.019009,           0.0048025,           0.0048025,           0.0048025
                 107,            0.037324,            0.038124,           0.0062865,             0.68362,             0.63467,             0.60528,               0.251,            0.049271,            0.025423,            0.017834,            0.004753,            0.004753,            0.004753
                 108,            0.037622,            0.035216,           0.0059932,             0.62972,             0.64411,              0.5867,             0.25824,             0.04935,            0.026242,             0.02042,           0.0047035,           0.0047035,           0.0047035
                 109,            0.038263,            0.034604,           0.0060367,             0.71343,              0.5952,             0.60488,             0.25056,             0.04916,            0.027044,            0.018948,            0.004654,            0.004654,            0.004654
                 110,            0.038231,            0.035456,           0.0061055,             0.72465,             0.65642,              0.6277,             0.25949,            0.049339,            0.026974,            0.018475,           0.0046045,           0.0046045,           0.0046045
                 111,            0.037318,            0.034341,           0.0058297,             0.66092,             0.58855,             0.59428,              0.2494,            0.050456,            0.027251,            0.017778,            0.004555,            0.004555,            0.004555
                 112,            0.037163,            0.036592,           0.0064629,             0.67337,             0.57744,             0.59527,             0.24231,            0.049331,            0.027373,            0.018127,           0.0045055,           0.0045055,           0.0045055
                 113,            0.037533,            0.034124,           0.0065511,             0.63213,             0.64545,             0.59862,             0.25076,            0.048749,            0.027006,            0.016994,            0.004456,            0.004456,            0.004456
                 114,            0.037048,            0.036943,           0.0066126,             0.66593,             0.64021,             0.61158,             0.24214,             0.04926,            0.027212,             0.01976,           0.0044065,           0.0044065,           0.0044065
                 115,            0.037171,            0.034455,           0.0062025,             0.73782,             0.59274,             0.62456,             0.26058,            0.049313,            0.028076,            0.019665,            0.004357,            0.004357,            0.004357
                 116,            0.037483,            0.036653,           0.0063345,             0.73068,             0.62858,             0.63177,             0.26498,            0.048792,            0.027547,            0.019444,           0.0043075,           0.0043075,           0.0043075
                 117,            0.038116,            0.038664,           0.0064491,             0.68723,             0.65025,              0.6172,             0.25149,            0.049142,            0.027451,            0.019108,            0.004258,            0.004258,            0.004258
                 118,            0.035835,            0.036692,           0.0055575,              0.6491,             0.64093,             0.61117,             0.25604,            0.048098,            0.026909,             0.01955,           0.0042085,           0.0042085,           0.0042085
                 119,            0.036325,              0.0337,            0.005186,             0.69205,             0.64543,             0.61814,             0.26126,            0.048378,             0.02814,             0.01939,            0.004159,            0.004159,            0.004159
                 120,            0.037694,            0.035072,           0.0060854,              0.6301,             0.63062,             0.60561,             0.25375,            0.049266,            0.027825,            0.019409,           0.0041095,           0.0041095,           0.0041095
                 121,            0.036947,            0.035384,           0.0057829,             0.70192,             0.63967,             0.60562,             0.24229,            0.049062,            0.027296,            0.018242,             0.00406,             0.00406,             0.00406
                 122,            0.036655,            0.035615,           0.0053128,             0.70515,             0.63905,             0.63395,               0.255,             0.04812,            0.027186,            0.018566,           0.0040105,           0.0040105,           0.0040105
                 123,            0.036876,            0.036065,           0.0057545,             0.67194,             0.65274,             0.62542,             0.26207,             0.04893,             0.02631,            0.016981,            0.003961,            0.003961,            0.003961
                 124,            0.035783,            0.036789,           0.0053601,             0.73447,             0.64005,             0.65495,              0.2734,            0.049125,            0.026061,            0.017729,           0.0039115,           0.0039115,           0.0039115
                 125,            0.035968,            0.033258,           0.0054954,             0.73152,              0.6165,             0.63511,             0.25733,            0.048188,             0.02629,            0.018431,            0.003862,            0.003862,            0.003862
                 126,            0.035606,            0.034891,           0.0055159,             0.69523,             0.64438,             0.64134,             0.25383,            0.049295,            0.026664,            0.018867,           0.0038125,           0.0038125,           0.0038125
                 127,            0.036081,            0.035702,           0.0054427,             0.66642,             0.61518,             0.60148,             0.23829,            0.049886,            0.026748,            0.020782,            0.003763,            0.003763,            0.003763
                 128,            0.035752,            0.034467,           0.0056828,              0.7311,             0.62436,             0.63655,             0.26555,             0.04951,            0.027328,            0.017853,           0.0037135,           0.0037135,           0.0037135
                 129,            0.035834,            0.033907,           0.0053021,              0.7366,             0.62281,             0.64767,             0.26865,            0.050003,            0.028134,            0.016495,            0.003664,            0.003664,            0.003664
                 130,            0.036056,            0.034281,           0.0055148,             0.72408,             0.66746,             0.65287,             0.27255,            0.049644,            0.027515,             0.01825,           0.0036145,           0.0036145,           0.0036145
                 131,            0.035612,            0.034224,           0.0055687,              0.7066,             0.66935,             0.65515,             0.28658,            0.048523,            0.027251,            0.018137,            0.003565,            0.003565,            0.003565
                 132,            0.035885,            0.036041,           0.0054428,             0.71223,             0.65669,             0.65151,             0.27858,            0.049697,            0.027354,            0.017544,           0.0035155,           0.0035155,           0.0035155
                 133,            0.035663,             0.03545,            0.005135,             0.75555,             0.61025,             0.64438,             0.27064,            0.048622,            0.026741,            0.017954,            0.003466,            0.003466,            0.003466
                 134,            0.035895,            0.034747,           0.0053464,             0.74365,             0.61774,             0.62896,             0.26262,            0.049298,            0.026619,            0.018478,           0.0034165,           0.0034165,           0.0034165
                 135,            0.034839,            0.033334,           0.0051109,             0.69068,             0.63058,             0.61596,              0.2599,            0.049619,            0.027038,            0.019596,            0.003367,            0.003367,            0.003367
                 136,            0.035551,            0.034181,           0.0053963,             0.68741,             0.64983,             0.63959,             0.26551,            0.049152,            0.026845,             0.01918,           0.0033175,           0.0033175,           0.0033175
